Institution,Fiscal Year,Study Level,Gender Group,HEADCOUNT
Guelph,2022-2023,Undergraduate,Female,"14,813"
Guelph,2022-2023,Undergraduate,Male,"9,330"
Guelph,2022-2023,Undergraduate,N/A or Another,571
Guelph,2022-2023,Graduate,Female,"1,594"
Guelph,2022-2023,Graduate,Male,"1,110"
Guelph,2022-2023,Graduate,N/A or Another,148
Guelph,2023-2024,Undergraduate,Female,"15,154"
Guelph,2023-2024,Undergraduate,Male,"9,491"
Guelph,2023-2024,Undergraduate,N/A or Another,669
Guelph,2023-2024,Graduate,Female,"1,614"
Guelph,2023-2024,Graduate,Male,"1,067"
Guelph,2023-2024,Graduate,N/A or Another,144
Guelph,2024-2025,Undergraduate,Female,16543
Guelph,2024-2025,Undergraduate,Male,10575
Guelph,2024-2025,Undergraduate,N/A or Another,854
Guelph,2024-2025,Graduate,Female,1711
Guelph,2024-2025,Graduate,Male,967
Guelph,2024-2025,Graduate,N/A or Another,149
Hearst,2012-2013,Undergraduate,Female,57
Hearst,2012-2013,Undergraduate,Male,12
Hearst,2013-2014,Undergraduate,Female,57
Hearst,2013-2014,Undergraduate,Male,11
Hearst,2014-2015,Undergraduate,Female,56
Hearst,2014-2015,Undergraduate,Male,17
Hearst,2015-2016,Undergraduate,Female,76
Hearst,2015-2016,Undergraduate,Male,33
Hearst,2016-2017,Undergraduate,Female,65
Hearst,2016-2017,Undergraduate,Male,42
Hearst,2017-2018,Undergraduate,Female,83
Hearst,2017-2018,Undergraduate,Male,47
Hearst,2018-2019,Undergraduate,Female,92
Hearst,2018-2019,Undergraduate,Male,55
Hearst,2019-2020,Undergraduate,Female,118
Hearst,2019-2020,Undergraduate,Male,87
Hearst,2020-2021,Undergraduate,Female,94
Hearst,2020-2021,Undergraduate,Male,68
Hearst,2020-2021,Undergraduate,N/A or Another,0
Hearst,2021-2022,Undergraduate,Female,122
Hearst,2021-2022,Undergraduate,Male,91
Hearst,2021-2022,Undergraduate,N/A or Another,*
Hearst,2022-2023,Undergraduate,Female,119
Hearst,2022-2023,Undergraduate,Male,99
Hearst,2022-2023,Undergraduate,N/A or Another,*
Hearst,2022-2023,Graduate,Female,10
Hearst,2023-2024,Undergraduate,Female,162
Hearst,2023-2024,Undergraduate,Male,151
Hearst,2023-2024,Graduate,Female,*
Hearst,2023-2024,Graduate,Male,*
Hearst,2024-2025,Undergraduate,Female,154
Hearst,2024-2025,Undergraduate,Male,147
Hearst,2024-2025,Graduate,Female,12
Hearst,2024-2025,Graduate,Male,*
Lakehead,2012-2013,Undergraduate,Female,"3,707"
Lakehead,2012-2013,Undergraduate,Male,"2,641"
Lakehead,2012-2013,Graduate,Female,451
Lakehead,2012-2013,Graduate,Male,301
Lakehead,2013-2014,Undergraduate,Female,"3,708"
Lakehead,2013-2014,Undergraduate,Male,"2,596"
Lakehead,2013-2014,Graduate,Female,484
Lakehead,2013-2014,Graduate,Male,313
Lakehead,2014-2015,Undergraduate,Female,"3,589"
Lakehead,2014-2015,Undergraduate,Male,"2,646"
Lakehead,2014-2015,Graduate,Female,461
Lakehead,2014-2015,Graduate,Male,334
Lakehead,2015-2016,Undergraduate,Female,"3,240"
Lakehead,2015-2016,Undergraduate,Male,"2,485"
Lakehead,2015-2016,Graduate,Female,523
Lakehead,2015-2016,Graduate,Male,368
Lakehead,2016-2017,Undergraduate,Female,"3,330"
Lakehead,2016-2017,Undergraduate,Male,"2,593"
Lakehead,2016-2017,Graduate,Female,589
Lakehead,2016-2017,Graduate,Male,454
Lakehead,2017-2018,Undergraduate,Female,"3,107"
Lakehead,2017-2018,Undergraduate,Male,"2,589"
Lakehead,2017-2018,Undergraduate,N/A or Another,*
Lakehead,2017-2018,Graduate,Female,646
Lakehead,2017-2018,Graduate,Male,572
Lakehead,2017-2018,Graduate,N/A or Another,0
Lakehead,2018-2019,Undergraduate,Female,"3,148"
Lakehead,2018-2019,Undergraduate,Male,"2,693"
Lakehead,2018-2019,Undergraduate,N/A or Another,*
Lakehead,2018-2019,Graduate,Female,693
Lakehead,2018-2019,Graduate,Male,606
Lakehead,2018-2019,Graduate,N/A or Another,*
Lakehead,2019-2020,Undergraduate,Female,"3,255"
Lakehead,2019-2020,Undergraduate,Male,"2,605"
Lakehead,2019-2020,Graduate,Female,761
Lakehead,2019-2020,Graduate,Male,686
Lakehead,2020-2021,Undergraduate,Female,"3,284"
Lakehead,2020-2021,Undergraduate,Male,"2,416"
Lakehead,2020-2021,Undergraduate,N/A or Another,56
Lakehead,2020-2021,Graduate,Female,703
Lakehead,2020-2021,Graduate,Male,603
